,02-Jan,03-Jan,04-Jan,07-Jan,08-Jan,09-Jan,10-Jan,11-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,21-Jan,22-Jan
EUR,,,,,,,,,,,,,,,
s/n-o/n,3.83125,3.86875,4.09250,4.11500,4.13250,4.18125,4.03375,3.90375,3.89750,4.03750,4.04250,4.02875,3.99750,4.00000,4.00625
1w,4.11375,4.12375,4.13188,4.13750,4.15250,4.18125,4.12438,4.12813,4.13688,4.14563,4.13250,4.11938,4.11500,4.11063,4.10688
2w,4.15313,4.15125,4.15375,4.15375,4.15875,4.18688,4.16000,4.15250,4.15875,4.16188,4.15375,4.14563,4.14250,4.13625,4.13438
1m,4.22625,4.21000,4.20313,4.20000,4.20000,4.21000,4.20500,4.20000,4.20125,4.20188,4.19625,4.19375,4.18688,4.18563,4.17000
2m,4.47125,4.44750,4.43938,4.42938,4.41938,4.42125,4.40250,4.38563,4.36875,4.35375,4.32750,4.30688,4.28438,4.27688,4.25688
3m,4.66313,4.63813,4.62875,4.60625,4.59750,4.59875,4.58750,4.57250,4.54813,4.53500,4.50313,4.43813,4.40938,4.38750,4.33000
4m,4.68188,4.66000,4.64375,4.62063,4.61375,4.61500,4.61000,4.60000,4.56563,4.55125,4.51125,4.44500,4.41563,4.39500,4.34375
5m,4.69375,4.66500,4.65313,4.63313,4.62938,4.63000,4.62063,4.61250,4.58250,4.55875,4.51313,4.44625,4.42188,4.39188,4.33938
6m,4.70188,4.67813,4.66313,4.64375,4.64125,4.64375,4.63188,4.62250,4.58875,4.56750,4.51188,4.44813,4.42188,4.39000,4.33000
7m,4.70750,4.68438,4.66375,4.64438,4.64438,4.64625,4.63625,4.63250,4.59313,4.57063,4.51200,4.44750,4.42188,4.39000,4.32075
8m,4.71188,4.68813,4.66375,4.64563,4.64438,4.64563,4.63875,4.63375,4.59438,4.57125,4.51225,4.44750,4.42063,4.38750,4.32000
9m,4.71813,4.69000,4.66375,4.64750,4.64563,4.64563,4.64125,4.63875,4.59375,4.57250,4.51125,4.44750,4.41938,4.38313,4.31563
10m,4.72313,4.69375,4.66875,4.64938,4.64750,4.64750,4.64313,4.64063,4.59375,4.57388,4.51150,4.44625,4.41563,4.38188,4.31000
11m,4.72688,4.69438,4.67250,4.64938,4.64938,4.64875,4.64313,4.64063,4.59500,4.57563,4.51175,4.44625,4.41563,4.37813,4.30938
12m,4.73500,4.69813,4.67313,4.64938,4.64938,4.65000,4.64438,4.64063,4.59375,4.57625,4.51188,4.44625,4.41563,4.37750,4.30688
,,,,,,,,,,,,,,,
USD,,,,,,,,,,,,,,,
s/n-o/n,4.45125,4.39500,4.33750,4.30000,4.29375,4.28719,4.28500,4.28188,4.28750,4.32438,4.29813,4.29063,4.27125,       ,4.17625
1w,4.49875,4.49750,4.47750,4.39375,4.37375,4.34375,4.33000,4.30875,4.30000,4.29938,4.29250,4.29250,4.28500,4.28000,4.13000
2w,4.51125,4.51125,4.49875,4.41625,4.39375,4.35875,4.33625,4.30750,4.29125,4.29125,4.25250,4.15000,4.13125,4.06125,3.99625
1m,4.57000,4.54000,4.51500,4.44125,4.41125,4.37063,4.31938,4.23625,4.08125,4.02250,3.98938,3.95875,3.93438,3.90250,3.77375
2m,4.63625,4.60375,4.58000,4.50000,4.46875,4.41500,4.35250,4.24750,4.06875,4.00750,3.97063,3.94500,3.91563,3.87750,3.75250
3m,4.68063,4.64625,4.62000,4.54313,4.50500,4.44250,4.37688,4.25750,4.05500,3.99750,3.95125,3.92625,3.89375,3.84750,3.71750
4m,4.64500,4.59500,4.58250,4.49375,4.45375,4.39500,4.32250,4.22000,4.01125,3.95625,3.90500,3.89625,3.85750,3.80938,3.65750
5m,4.60500,4.53875,4.52875,4.42625,4.39125,4.33500,4.25875,4.15500,3.94375,3.89250,3.85000,3.85250,3.80500,3.74188,3.57250
6m,4.56625,4.47375,4.46750,4.36375,4.32875,4.26250,4.19375,4.08125,3.85375,3.82750,3.79375,3.81125,3.75375,3.67438,3.49000
7m,4.49500,4.39375,4.39125,4.27875,4.25125,4.18313,4.11875,4.00250,3.77875,3.75250,3.71563,3.74250,3.68000,3.59125,3.39875
8m,4.41688,4.30438,4.30250,4.19375,4.17375,4.10438,4.04375,3.92688,3.70375,3.67625,3.64000,3.67188,3.60500,3.50875,3.30938
9m,4.34625,4.22188,4.22375,4.11625,4.09813,4.02313,3.96750,3.85750,3.62875,3.60875,3.56250,3.61125,3.53500,3.42313,3.22875
10m,4.28750,4.15750,4.15875,4.05875,4.03625,3.96813,3.91500,3.80750,3.58250,3.56000,3.51500,3.56563,3.48500,3.36588,3.17375
11m,4.23563,4.09500,4.10125,3.99875,3.97688,3.91625,3.86000,3.76125,3.53875,3.51250,3.46750,3.52125,3.43750,3.31325,3.12500
12m,4.18750,4.04188,4.05250,3.94250,3.92875,3.86438,3.81250,3.71500,3.49625,3.47375,3.42375,3.48000,3.39625,3.26813,3.08375